"rank_order","rank","name","scores_overall","scores_overall_rank","scores_teaching","scores_teaching_rank","scores_research","scores_research_rank","scores_citations","scores_citations_rank","scores_industry_income","scores_industry_income_rank","scores_international_outlook","scores_international_outlook_rank","record_type","member_level","url","nid","location","stats_number_students","stats_student_staff_ratio","stats_pc_intl_students","stats_female_male_ratio","aliases","subjects_offered","closed","unaccredited","disabled","location_standardized"
10,1,"University of Oxford",98.5,10,96.8,5,100,1,98.8,8,99.6,67,97.3,21,"master_account",0,"/world-university-rankings/university-oxford",468,"United Kingdom",22095,10.8,"43%","51 : 49","University of Oxford","Computer Science,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Law,Accounting & Finance,Chemical Engineering,Archaeology,Communication & Media Studies,Civil Engineering,Education,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Geography,Politics & International Studies (incl Development Studies),Other Health,General Engineering,Business & Management,Chemistry,Medicine & Dentistry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Sociology",FALSE,FALSE,FALSE,"united kingdom"
20,2,"Massachusetts Institute of Technology",98.1,20,99.2,1,96,11,99.7,1,100,14,93.8,70,"private",0,"/world-university-rankings/massachusetts-institute-technology",471,"United States",11836,8,"33%","42 : 58","Massachusetts Institute of Technology","Biological Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Economics & Econometrics,Psychology,Art, Performing Arts & Design,Physics & Astronomy,Mechanical & Aerospace Engineering,Sociology,Communication & Media Studies,Mathematics & Statistics,Architecture,General Engineering,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Other Health,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Business & Management",FALSE,FALSE,FALSE,"united states of america"
30,3,"Harvard University",97.7,30,97.3,4,99.9,2,99.3,3,85.7,242,90.1,132,"private",0,"/world-university-rankings/harvard-university",466,"United States",22584,10,"25%","52 : 48","Harvard University","Archaeology,Mathematics & Statistics,Art, Performing Arts & Design,Psychology,Other Health,Chemistry,Economics & Econometrics,Biological Sciences,Accounting & Finance,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Law,History, Philosophy & Theology,Geography,Education,Computer Science,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,Architecture,Sociology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Agriculture & Forestry",FALSE,FALSE,FALSE,"united states of america"
40,4,"Princeton University",97.5,40,98.3,2,98,6,98.9,7,96.9,111,87.4,173,"private",0,"/world-university-rankings/princeton-university",469,"United States",8378,7.8,"23%","47 : 53","Princeton University","Chemistry,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Other Health,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Architecture,Civil Engineering,Psychology",FALSE,FALSE,FALSE,"united states of america"
50,5,"University of Cambridge",97.4,50,95.9,6,99.9,3,97.6,17,88.4,207,97.1,24,"master_account",0,"/world-university-rankings/university-cambridge",470,"United Kingdom",20980,11.5,"38%","49 : 51","University of Cambridge","History, Philosophy & Theology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Law,Electrical & Electronic Engineering,Architecture,Psychology,Veterinary Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Archaeology,Medicine & Dentistry,Chemistry,Mechanical & Aerospace Engineering,Geography,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Civil Engineering,Sociology,Business & Management,Chemical Engineering,Art, Performing Arts & Design,Education",FALSE,FALSE,FALSE,"united kingdom"
60,6,"Stanford University",97.2,60,97.5,3,97.3,9,99.6,2,100,23,85.1,206,"private",0,"/world-university-rankings/stanford-university",467,"United States",16963,5.9,"23%","47 : 53","Stanford University","Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Sociology,Other Health,Computer Science,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Biological Sciences,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Agriculture & Forestry,Archaeology,Education,Languages, Literature & Linguistics,Communication & Media Studies,Physics & Astronomy,Law,Economics & Econometrics,Chemistry",FALSE,FALSE,FALSE,"united states of america"
70,7,"California Institute of Technology",96.3,70,95.2,8,97.5,8,97.3,21,100,1,89.7,137,"private",0,"/world-university-rankings/california-institute-technology-caltech",128779,"United States",2397,6.4,"32%","38 : 62","California Institute of Technology caltech","Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemistry,Chemical Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Civil Engineering",FALSE,FALSE,FALSE,"united states of america"
80,8,"University of California, Berkeley",94.5,80,87.2,15,98.9,4,99,5,99.5,72,86.4,188,"public",0,"/world-university-rankings/university-california-berkeley",474,"United States",42423,18.7,"25%","52 : 48","University of California, Berkeley","Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Art, Performing Arts & Design,Geography,General Engineering,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering,Computer Science,Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Chemistry,Law,Psychology,Business & Management,Architecture,Mathematics & Statistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology",FALSE,FALSE,FALSE,"united states of america"
90,9,"Imperial College London",94.4,90,89.3,12,94.9,13,98.5,9,90.8,180,98.3,7,"master_account",0,"/world-university-rankings/imperial-college-london",472,"United Kingdom",21000,12.1,"60%","43 : 57","Imperial College London","Computer Science,Business & Management,Chemical Engineering,Accounting & Finance,Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Medicine & Dentistry,Mechanical & Aerospace Engineering,Other Health,Mathematics & Statistics,Biological Sciences,Civil Engineering",FALSE,FALSE,FALSE,"united kingdom"
100,10,"Yale University",94.1,100,93.7,11,95,12,97.8,16,86.5,231,82.3,243,"private",0,"/world-university-rankings/yale-university",475,"United States",14401,6.2,"22%","53 : 47","Yale University","Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Archaeology,Agriculture & Forestry,Psychology,Mathematics & Statistics,Law,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Accounting & Finance,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Chemical Engineering,Business & Management,Chemistry,Architecture,Biological Sciences,Economics & Econometrics",FALSE,FALSE,FALSE,"united states of america"
110,11,"ETH Zurich",93,110,87.3,14,97.2,10,95.1,46,84,265,95.3,44,"master_account",0,"/world-university-rankings/eth-zurich",479,"Switzerland",22883,15.8,"44%","33 : 67","ETH Zurich","Electrical & Electronic Engineering,Education,Civil Engineering,Business & Management,Chemical Engineering,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Economics & Econometrics,Chemistry,Other Health,Mathematics & Statistics,Sport Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Biological Sciences,Architecture,Physics & Astronomy,Medicine & Dentistry,Accounting & Finance",FALSE,FALSE,FALSE,"switzerland"
120,12,"Tsinghua University",92.5,120,95.4,7,98.4,5,93.5,60,100,29,49.8,872,"master_account",0,"/world-university-rankings/tsinghua-university",535,"China",38289,11,"9%",NA,"Tsinghua University Qinghua University Tsing hua University Qing hua University","Art, Performing Arts & Design,Medicine & Dentistry,Sport Science,Economics & Econometrics,Architecture,Mechanical & Aerospace Engineering,Geography,Accounting & Finance,Electrical & Electronic Engineering,Physics & Astronomy,Education,Other Health,Communication & Media Studies,Chemical Engineering,Sociology,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Languages, Literature & Linguistics,Archaeology,Mathematics & Statistics,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Chemistry,History, Philosophy & Theology,Biological Sciences,Law",FALSE,FALSE,FALSE,"china"
130,13,"Peking University",92,130,94.9,9,97.7,7,88.2,158,99.9,41,70.1,436,"master_account",0,"/world-university-rankings/peking-university",514,"China",34981,11.5,"15%",NA,"Peking University","Chemistry,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Law,Accounting & Finance,Art, Performing Arts & Design,Economics & Econometrics,Mathematics & Statistics,Psychology,Computer Science,Geography,Business & Management,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Other Health,Archaeology,Sociology,Electrical & Electronic Engineering,Biological Sciences,Education,Medicine & Dentistry,Communication & Media Studies,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,"china"
160,16,"Johns Hopkins University",90.7,160,83.7,22,91.3,18,97.3,22,100,8,83.6,219,"private",0,"/world-university-rankings/johns-hopkins-university",478,"United States",21735,5.8,"32%","55 : 45","Johns Hopkins University","Mathematics & Statistics,Economics & Econometrics,Civil Engineering,General Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Education,Archaeology,Business & Management,Accounting & Finance,Computer Science,History, Philosophy & Theology,Psychology,Chemistry,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Other Health,Art, Performing Arts & Design,Chemical Engineering",FALSE,FALSE,FALSE,"united states of america"
170,17,"National University of Singapore",89.9,170,78.4,24,93.6,15,95.7,41,100,17,91.9,107,"master_account",6,"/world-university-rankings/national-university-singapore",504,"Singapore",34388,21,"26%","49 : 51","National University of Singapore nus","Computer Science,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Chemical Engineering,Geography,Medicine & Dentistry,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Biological Sciences,Law,Other Health,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Civil Engineering,Sociology,Archaeology,Agriculture & Forestry,Business & Management",FALSE,FALSE,FALSE,"singapore"
200,20,"Cornell University",89.2,200,83.2,23,91.1,19,96.8,29,69.5,496,85.5,196,"private",0,"/world-university-rankings/cornell-university",484,"United States",25528,10.5,"26%","52 : 48","Cornell University","History, Philosophy & Theology,Archaeology,Veterinary Science,Agriculture & Forestry,Law,Biological Sciences,Chemical Engineering,Politics & International Studies (incl Development Studies),Civil Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,Sociology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Computer Science,General Engineering,Chemistry,Economics & Econometrics,Physics & Astronomy,Business & Management,Psychology,Other Health",FALSE,FALSE,FALSE,"united states of america"
