"rank_order","rank","name","scores_overall","scores_overall_rank","scores_teaching","scores_teaching_rank","scores_research","scores_research_rank","scores_citations","scores_citations_rank","scores_industry_income","scores_industry_income_rank","scores_international_outlook","scores_international_outlook_rank","record_type","member_level","url","nid","location","stats_number_students","stats_student_staff_ratio","stats_pc_intl_students","stats_female_male_ratio","aliases","subjects_offered","closed","unaccredited","disabled","apply_link","cta_button.link","cta_button.text","location_standardized"
10,1,"University of Oxford",98.5,10,96.8,5,100,1,98.8,8,99.6,67,97.3,21,"master_account",0,"/world-university-rankings/university-oxford",468,"United Kingdom",22095,10.8,"43%","51 : 49","University of Oxford","Computer Science,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Law,Accounting & Finance,Chemical Engineering,Archaeology,Communication & Media Studies,Civil Engineering,Education,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Geography,Politics & International Studies (incl Development Studies),Other Health,General Engineering,Business & Management,Chemistry,Medicine & Dentistry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Sociology",FALSE,FALSE,FALSE,"https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101","https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101","Admissions Support","united kingdom"
20,2,"Massachusetts Institute of Technology",98.1,20,99.2,1,96,11,99.7,1,100,14,93.8,70,"private",0,"/world-university-rankings/massachusetts-institute-technology",471,"United States",11836,8,"33%","42 : 58","Massachusetts Institute of Technology","Biological Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Economics & Econometrics,Psychology,Art, Performing Arts & Design,Physics & Astronomy,Mechanical & Aerospace Engineering,Sociology,Communication & Media Studies,Mathematics & Statistics,Architecture,General Engineering,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Other Health,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Business & Management",FALSE,FALSE,FALSE,"https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672","https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672","Admissions Support","united states of america"
30,3,"Harvard University",97.7,30,97.3,4,99.9,2,99.3,3,85.7,242,90.1,132,"private",0,"/world-university-rankings/harvard-university",466,"United States",22584,10,"25%","52 : 48","Harvard University","Archaeology,Mathematics & Statistics,Art, Performing Arts & Design,Psychology,Other Health,Chemistry,Economics & Econometrics,Biological Sciences,Accounting & Finance,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Law,History, Philosophy & Theology,Geography,Education,Computer Science,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,Architecture,Sociology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Agriculture & Forestry",FALSE,FALSE,FALSE,"https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48698023","https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48698023","Admissions Support","united states of america"
40,4,"Princeton University",97.5,40,98.3,2,98,6,98.9,7,96.9,111,87.4,173,"private",0,"/world-university-rankings/princeton-university",469,"United States",8378,7.8,"23%","47 : 53","Princeton University","Chemistry,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Other Health,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Architecture,Civil Engineering,Psychology",FALSE,FALSE,FALSE,"https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20795402","https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20795402","Admissions Support","united states of america"
50,5,"University of Cambridge",97.4,50,95.9,6,99.9,3,97.6,17,88.4,207,97.1,24,"master_account",0,"/world-university-rankings/university-cambridge",470,"United Kingdom",20980,11.5,"38%","49 : 51","University of Cambridge","History, Philosophy & Theology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Law,Electrical & Electronic Engineering,Architecture,Psychology,Veterinary Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Archaeology,Medicine & Dentistry,Chemistry,Mechanical & Aerospace Engineering,Geography,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Civil Engineering,Sociology,Business & Management,Chemical Engineering,Art, Performing Arts & Design,Education",FALSE,FALSE,FALSE,"https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67516113","https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67516113","Admissions Support","united kingdom"
60,6,"Stanford University",97.2,60,97.5,3,97.3,9,99.6,2,100,23,85.1,206,"private",0,"/world-university-rankings/stanford-university",467,"United States",16963,5.9,"23%","47 : 53","Stanford University","Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Sociology,Other Health,Computer Science,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Biological Sciences,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Agriculture & Forestry,Archaeology,Education,Languages, Literature & Linguistics,Communication & Media Studies,Physics & Astronomy,Law,Economics & Econometrics,Chemistry",FALSE,FALSE,FALSE,NA,"https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-35756672","Admissions Support","united states of america"
70,7,"California Institute of Technology",96.3,70,95.2,8,97.5,8,97.3,21,100,1,89.7,137,"private",0,"/world-university-rankings/california-institute-technology-caltech",128779,"United States",2397,6.4,"32%","38 : 62","California Institute of Technology caltech","Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemistry,Chemical Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Civil Engineering",FALSE,FALSE,FALSE,"https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20537945","https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20537945","Admissions Support","united states of america"
80,8,"University of California, Berkeley",94.5,80,87.2,15,98.9,4,99,5,99.5,72,86.4,188,"public",0,"/world-university-rankings/university-california-berkeley",474,"United States",42423,18.7,"25%","52 : 48","University of California, Berkeley","Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Art, Performing Arts & Design,Geography,General Engineering,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering,Computer Science,Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Chemistry,Law,Psychology,Business & Management,Architecture,Mathematics & Statistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology",FALSE,FALSE,FALSE,"https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853","https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853","Admissions Support","united states of america"
90,9,"Imperial College London",94.4,90,89.3,12,94.9,13,98.5,9,90.8,180,98.3,7,"master_account",0,"/world-university-rankings/imperial-college-london",472,"United Kingdom",21000,12.1,"60%","43 : 57","Imperial College London","Computer Science,Business & Management,Chemical Engineering,Accounting & Finance,Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Medicine & Dentistry,Mechanical & Aerospace Engineering,Other Health,Mathematics & Statistics,Biological Sciences,Civil Engineering",FALSE,FALSE,FALSE,"https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67704114","https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67704114","Admissions Support","united kingdom"
100,10,"Yale University",94.1,100,93.7,11,95,12,97.8,16,86.5,231,82.3,243,"private",0,"/world-university-rankings/yale-university",475,"United States",14401,6.2,"22%","53 : 47","Yale University","Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Archaeology,Agriculture & Forestry,Psychology,Mathematics & Statistics,Law,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Accounting & Finance,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Chemical Engineering,Business & Management,Chemistry,Architecture,Biological Sciences,Economics & Econometrics",FALSE,FALSE,FALSE,"https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-73583889","https://www.timeshighereducation.com/student/register-your-free-personalised-academic-evaluation-expert-academic-advisor?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-73583889","Admissions Support","united states of america"
